id,address,addressNumber,bikes,district,lat,lon,name,nearbyStations,slots,stationType,status,zip
164,164 - Bajío-Tlacotalpan,S/N,6,ROM,19.403204,-99.16596,164 BAJÍO-TLACOTALPAN,"157,161,162",20,BIKE,OPN,
165,165 - Bajío-Eje 2 Pte. Monterrey,S/N,7,ROM,19.404268,-99.160503,165 BAJÍO-EJE 2 PTE. MONTERREY,"162,163",14,BIKE,OPN,
166,166 - Progreso-Cda. Antonio Maceo,S/N,0,ESC,19.406069,-99.183549,166 PROGRESO-CDA. ANTONIO MACEO,"170,172,181",24,BIKE,OPN,
167,167 - General Salvador Alvarado-Progreso,S/N,2,ESC,19.404651,-99.179375,167 GENERAL SALVADOR ALVARADO-PROGRESO,"168,172,178",22,BIKE,OPN,
168,168 - Comercio-Progreso,S/N,3,ESC,19.403997,-99.1776,168 COMERCIO-PROGRESO,"167,169,173",18,"BIKE,TPV",OPN,
169,169 - Prosperidad-Progreso,S/N,10,ESC,19.403019,-99.174934,169 PROSPERIDAD-PROGRESO,"168,170,175",11,BIKE,OPN,
170,170 - Observatorio Oriente-Revolución,S/N,1,ESC,19.404029,-99.184342,170 OBSERVATORIO ORIENTE-REVOLUCIÓN,"166,167,172",20,BIKE,OPN,
171,171 - Comercio-Jose Martí,S/N,2,1,19.402584,-99.178199,171 COMERCIO-JOSE MARTÍ,"167,168,173",25,BIKE,OPN,
172,172 - General Francisco Murguia-Jose Martí,S/N,7,ESC,19.4034921,-99.1816002,172 GENERAL FRANCISCO MURGUIA-JOSE MARTÍ,"167,170,171",11,BIKE,OPN,
173,173 - Minería-Jose Martí,S/N,2,1,19.401682,-99.176398,173 MINERÍA-JOSÉ MARTÍ,"168,169,171",19,BIKE,OPN,
174,174 - Joaquín Garcia-Ignacio Manuel Altamirano,S/N,16,1,19.44111,-99.16164,174 JOAQUÍN GARCIA-IGNACIO MANUEL ALTAMIRANO,"160,183,254",17,"BIKE,TPV",OPN,
175,175 - Mutualismo-José Martí,S/N,1,ESC,19.400767,-99.172533,E175 MUTUALISMO-JOSÉ MARTí,"173,182,300",21,ELECTRIC_BIKE,OPN,
176,176-LUIS DONALDO COLOSIO - AV. JESÜS GARCÏA,S/N,13,BUE,19.442689,-99.152286,176 AV. JESÜS GARCÏA-LUIS DONALDO COLOSIO,"266,267,272",22,BIKE,OPN,
177,177 - BENJAMIN HILL-CARLOS ZETINA,S/N,8,H-C,19.408841,-99.181692,177 BENJAMIN HILL-CARLOS ZETINA,"176,178,190",12,BIKE,OPN,
178,178 - Tamaulipas-Francisco Murguía,S/N,11,H-C,19.406833,-99.180457,178 TAMAULIPAS-FRANCISCO MURGUÍA,"166,167,177",18,"BIKE,TPV",OPN,
179,179 - Nuevo León-Quintana Roo,S/N,7,HIP,19.404452,-99.171438,179 NUEVO LEÓN-QUINTANA ROO,"154,180,182",20,BIKE,OPN,
180,180 - Quintana Roo-Villa Hermosa,S/N,8,HIP,19.404554,-99.169953,180 QUINTANA ROO-VILLA HERMOSA,"154,179,182",22,BIKE,OPN,
181,181 - Benjamin Franklin - Ometusco,S/N,1,1,19.40472,-99.17448,181 BENJAMIN FRANKLIN-OMETUSCO,"168,169,179",23,BIKE,OPN,
182,182 - PROGRESO-ASTRONOMOS,S/N,25,HIP,19.402089,-99.17139,182 PROGRESO-ASTRONOMOS,"175,179",10,"BIKE,TPV",OPN,
183,183 - Gabino Barrera-Guillermo Prieto,S/N,2,S-R,19.43767,-99.16402,183 GABINO BARRERA-GUILLERMO PRIETO,"160,174,255",34,BIKE,OPN,
184,184 - General Gómez Pedraza-Gobernador Tiburcio Montiel,S/N,15,SMC,19.41479,-99.18508,184 GRAL GÓMEZ PEDRAZA-GOBERNADOR TIBURCIO M,"185,186,187",21,"BIKE,TPV",OPN,
185,185 - General Antonio Léon-General Pedro Antonio de los Santos,S/N,19,SMC,19.4128,-99.1828,185 GRAL ANTONIO LÉON-GRAL PEDRO A DE LOS S.,"176,187,190",11,BIKE,OPN,
186,186 - Gregorio V. Gelati-Francisco Molinos del C.,S/N,17,SMC,19.4124291,-99.1885117,186 GREGORIO V GELATI-FRANCISCO MOLINOS DEL C,"187,188,189",0,BIKE,OPN,
187,187 - Genral Cano-Gobernador Gregorio V. Gelati,S/N,12,SMC,19.41123,-99.18551,187 GENERAL CANO-GOBERNADOR GREGORIO V GELATI,"176,189,190",7,BIKE,OPN,
