,node,nearest station,distance
86,4522213597,466,569.41
87,4522213598,244,809.2650000000001
88,4522213592,466,603.96
89,4522213593,466,542.7099999999998
90,4522213595,466,426.271
91,4522213596,244,864.075
92,4522213600,466,724.3689999999999
93,275677414,408,1082.7240000000004
94,1137180903,191,951.299
95,343301223,457,2615.448000000001
96,338886889,456,619.172
97,4522213602,466,1069.738
99,3430645984,466,827.6189999999998
100,373110742,466,968.336
101,275415281,309,243.63100000000003
102,5872058610,467,206.798
103,274923763,329,115.60600000000001
104,275513588,342,227.194
105,1137180917,191,542.734
106,275513587,360,264.273
107,5872058611,467,209.551
108,1137180920,191,432.67800000000005
109,5872058616,467,0.0
110,5872058609,467,317.756
111,1993089023,192,830.058
112,5872058612,467,310.452
113,274923773,329,0.0
114,274923774,331,187.001
115,274923775,330,354.92199999999997
116,274923776,330,265.86400000000003
117,274923777,330,175.18299999999996
118,3430646018,476,359.0850000000001
119,3430646019,480,411.521
120,3430646020,466,775.2639999999999
121,345211141,189,388.126
122,3430645985,465,1031.62
123,272007436,216,284.80400000000003
124,276496658,295,3239.442
125,333578524,189,2085.263
126,5383880988,445,2119.4320000000002
127,5383880989,445,1981.934
128,5383880991,445,2005.848
129,5383880993,445,2029.645
130,333578541,189,1854.71
131,338886957,457,1327.1870000000001
132,270467377,266,2471.824
133,333578547,189,1847.344
134,2336489779,457,9261.223
135,2265973054,100,163.578
136,2265973055,100,271.368
137,4523950399,148,552.4030000000001
138,4523950398,148,680.063
139,4523950411,163,974.7180000000001
140,4523950412,163,1038.775
141,4523950413,163,1127.5649999999996
142,4523950414,163,1212.6419999999996
143,4523950416,163,887.807
144,4523950417,163,835.738
145,4523950418,163,782.79
146,4523950419,163,854.9830000000001
147,3308912977,268,320.24
148,3308912976,268,95.899
149,272004590,210,212.161
150,3430646096,462,1945.018
151,4523950424,163,798.8660000000001
152,276496729,295,2702.33
153,4523950426,163,1161.8840000000002
154,333578586,192,1779.92
155,2336489820,457,8049.478000000001
156,276070749,363,218.274
157,333578589,192,1669.3450000000007
158,276070751,363,235.815
159,333578590,192,1643.2130000000002
160,276070753,363,186.144
161,333578594,192,1619.547
162,276070755,363,203.625
163,4523950441,163,1245.9070000000004
164,270467434,266,2239.2760000000007
165,270467441,266,2520.7529999999997
166,275513714,344,366.704
167,4523950456,163,1307.6889999999999
168,4523950457,148,1339.0649999999996
169,4523950459,106,2598.17
170,275513726,357,234.84099999999998
171,31162757,404,337.72599999999994
172,333578633,453,1313.134
173,31162761,404,552.8919999999998
174,3733291404,295,1064.632
175,3733291405,295,1042.357
176,31162765,401,244.799
177,4523950480,148,1113.611
178,333578640,453,1060.8869999999997
179,333578642,453,1094.9429999999998
180,2336489874,457,7884.0790000000015
181,4523950495,124,1706.9979999999998
182,333578656,453,1031.288
183,2336489890,457,9418.184000000001
184,333578659,453,1114.234
185,271581607,204,82.478
186,271581608,206,31.859
187,271581609,206,18.327
188,270467498,266,2288.799
189,271581611,460,531.4320000000001
190,271581612,240,1005.8969999999999
191,333578669,453,1261.7599999999998
192,271581610,460,165.67099999999996
193,275513779,373,82.421
194,275513780,399,222.11700000000002
195,2460418487,66,273.375
196,274923960,331,352.915
197,5149000124,189,1505.067
198,5149000125,189,1543.991
199,333578686,453,1034.375
200,333578685,453,1044.007
201,2336489922,453,6168.736999999999
202,2931655111,234,315.285
203,4523950538,124,1266.3239999999996
204,3050602955,247,398.98199999999997
205,3050602954,239,278.807
206,333578698,453,2068.519
207,333578699,453,1904.289
208,2336489938,457,8227.904
209,272007635,222,283.815
210,2336489943,457,8259.306
211,274923994,331,464.73199999999997
212,275513821,373,240.11
213,275513822,357,73.399
214,275513823,357,300.60299999999995
215,275513826,357,122.588
216,333578729,453,1611.524
217,333578732,453,1589.826
218,2336489968,457,7803.685
219,2336489970,457,7775.299000000001
220,4523950581,124,805.207
221,4523950582,148,816.2640000000001
222,4523950583,148,704.87
223,4523950584,124,772.8330000000001
224,4523950585,148,858.921
225,4523950586,109,1015.297
226,3814818296,70,174.858
227,4523950588,109,1057.0929999999996
228,333578744,453,1648.984
229,2336489979,453,6078.129
230,275513856,357,209.709
231,274924033,331,642.93
232,275513857,357,224.366
233,333578757,188,2492.5029999999997
234,4523950599,109,919.604
235,2336489994,457,7733.233000000001
236,333578763,188,2468.96
237,4523950604,109,880.207
238,2336489996,457,7620.778000000001
239,4040819220,430,963.018
240,2336490005,457,7650.800000000001
241,4523950616,109,696.015
242,4523950617,109,734.88
243,4523950618,109,648.5880000000001
244,270467610,266,2010.772
245,275677724,405,1127.211
246,275677723,408,1353.7810000000004
247,275677722,408,1218.212
248,2336490011,457,7435.802000000002
249,4523950624,124,301.064
250,275513889,372,170.707
251,275513890,372,276.676
252,275513891,356,257.627
253,275513892,337,246.069
254,333578787,188,2405.286
255,4523950630,124,257.994
256,275513895,356,293.508
257,4523950632,109,737.586
258,275513896,356,280.564
259,275513899,372,303.698
260,333578797,189,2378.393
261,2336490031,457,7360.954000000002
262,4523950641,109,1458.2819999999995
263,4523950642,124,307.004
264,4523950646,109,571.682
265,4523950649,124,122.264
266,4523950650,109,466.45900000000006
267,4523950651,109,398.343
268,4523950652,110,806.3349999999998
269,270467641,266,1980.035
270,4523950654,109,334.47
271,31162942,390,370.894
272,386273368,188,1896.432
273,275513921,356,341.095
274,4523950658,106,650.297
275,333578819,188,2391.395
276,2336490046,457,7285.623000000001
277,4523950661,124,184.01
278,2336490059,457,8647.158999999998
279,4156195404,360,74.42099999999998
280,333578828,188,2360.6310000000008
281,2336490062,457,7206.1150000000025
282,3443960067,398,69.229
283,2336490073,457,7275.111000000003
284,333578843,189,2066.092
285,270467678,266,2099.687000000001
286,275513951,356,325.51
287,275513952,372,350.08099999999996
288,473530979,175,338.1450000000001
289,275513957,372,366.48
290,276071015,362,211.0
291,333578855,188,2383.754
292,333578856,189,2320.6579999999994
293,276497008,295,2844.5020000000004
294,276497009,295,2870.559
295,276497010,295,2997.323000000001
296,276497011,295,3136.16
297,276497012,321,3231.84
298,4790518389,295,1283.9209999999996
299,276497013,321,3084.3740000000007
300,4523950713,123,85.429
301,276071038,363,80.988
302,333578879,189,2024.393
303,270467716,266,2082.4210000000007
304,2850390661,192,1794.9370000000006
305,2742321799,184,593.13
306,4523950730,123,47.622
307,2742321802,184,625.9
308,270467722,91,3661.741
309,274989708,386,886.9590000000002
